from_code,from_desc,to_code,target_desc,green
190,Urban areas,1,Artificial surfaces,0
10,Rainfed cropland,2,Croplands,1
11,Rainfed cropland,2,Croplands,1
12,Rainfed cropland,2,Croplands,1
20,Irrigated cropland,2,Croplands,1
30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",2,Croplands,1
40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (< 50%)",2,Croplands,1
110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),3,Grassland,1
130,Grassland,3,Grassland,1
50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",4,Tree-covered areas,1
60,"Tree cover, broadleaved, deciduous, closed to open (> 15%)",4,Tree-covered areas,1
61,"Tree cover, broadleaved, deciduous, closed to open (> 15%)",4,Tree-covered areas,1
62,"Tree cover, broadleaved, deciduous, closed to open (> 15%)",4,Tree-covered areas,1
70,"Tree cover, needleleaved, evergreen, closed to open (> 15%)",4,Tree-covered areas,1
71,"Tree cover, needleleaved, evergreen, closed to open (> 15%)",4,Tree-covered areas,1
72,"Tree cover, needleleaved, evergreen, closed to open (> 15%)",4,Tree-covered areas,1
80,"Tree cover, needleleaved, deciduous, closed to open (> 15%)",4,Tree-covered areas,1
81,"Tree cover, needleleaved, deciduous, closed to open (> 15%)",4,Tree-covered areas,1
82,"Tree cover, needleleaved, deciduous, closed to open (> 15%)",4,Tree-covered areas,1
90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",4,Tree-covered areas,1
100,Mosaic tree and shrub (>50%) / herbaceous cover (< 50%),4,Tree-covered areas,1
160,"Tree cover, flooded, fresh or brakish water",4,Tree-covered areas,1
170,"Tree cover, flooded, saline water",4,Tree-covered areas,1
120,Shrubland,5,Shrub-covered areas,1
121,Shrubland,5,Shrub-covered areas,1
122,Shrubland,5,Shrub-covered areas,1
180,"Shrub or herbaceous cover, flooded, fresh-saline or brakish water",6,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1
140,Lichens and mosses,7,Sparsely natural vegetated areas,0
150,"Sparse vegetation (tree, shrub, herbaceous cover)",7,Sparsely natural vegetated areas,0
151,"Sparse vegetation (tree, shrub, herbaceous cover)",7,Sparsely natural vegetated areas,0
152,"Sparse vegetation (tree, shrub, herbaceous cover)",7,Sparsely natural vegetated areas,0
153,"Sparse vegetation (tree, shrub, herbaceous cover)",7,Sparsely natural vegetated areas,0
200,Bare areas,8,Terrestrial barren land ,0
201,Bare areas,8,Terrestrial barren land ,0
202,Bare areas,8,Terrestrial barren land ,0
220,Permanent snow and ice,9,Permanent snow and glaciers,0
210,Water bodies,10,Inland water bodies,0
