,index,ISOCode,RSA,PLAN
0,0,ATF,9199.840915712815,7614.9222077480545
1,1,NAM,893993.3989102889,824291.6681156607
2,2,AFG,780843.0495639315,641808.3126599155
3,3,MYS,325900.9165534074,329763.7702394662
4,4,ZWE,415087.3392688376,391045.00702427945
5,5,MDV,0.0,194.38972670637236
6,6,BEN,116271.79749807177,115592.18903337365
7,7,CZE,119921.77134009752,78872.74079226269
8,8,MLI,1317958.3169000514,1254737.3032139705
9,9,DNK,70913.74104494313,43121.228355927895
10,10,ESP,660701.3612603906,505724.066912044
11,11,DOM,50022.6858879227,48185.273788180675
12,12,MLT,274.4307254349318,314.8097441034311
13,13,DMA,663.6531099956146,751.2226044725454
14,14,SDN,1948105.2604383107,1861742.410350562
15,15,ECU,255159.5353402638,256503.59421441023
16,16,SSD,638516.3072761146,632908.2331751274
17,17,MTQ,984.9578772949578,1141.7926035897115
18,18,ESH,294503.85540240956,268591.37539085373
19,19,SLV,20698.711844232806,20690.267917941303
20,20,MRT,1106823.896604158,1036663.7605698704
21,21,GNQ,26393.804580469307,26978.32100128835
22,22,MUS,1873.1609414367974,2065.73565893531
23,23,SUR,144470.24909237842,144858.92636495017
24,24,MEX,2155403.404997249,1963752.6712456576
25,25,MKD,33594.680755803725,25432.343668416393
26,26,NZL,351930.9460391687,268612.25003319024
27,27,KIR,302.8036551083055,931.4071360200986
28,28,AUT,124448.68758528556,83935.12038904872
29,29,NIC,130615.87832369615,129140.97338829678
30,30,EGY,1100113.9357861562,981476.547052325
31,31,GRC,161661.6622447818,132320.50037457948
32,32,BHS,9937.592461766877,13331.40901040356
33,33,NER,1242659.1054309062,1182307.403509572
34,34,GRL,8070977.65058556,2165149.061378601
35,35,BGD,139958.51311561244,139638.08592502028
36,36,BHR,546.8881732601874,672.8893138843142
37,37,NGA,925746.948231538,910330.2566682518
38,38,GBR,400067.0046507561,244418.5261057606
39,39,GRD,272.29020113731116,365.6198247129904
40,40,BRB,377.4878295603382,439.2451395821061
41,41,NIU,225.7771887408722,266.1014907193629
42,42,GLP,1444.489358925008,1677.0929338605295
43,43,ARM,37957.49842160484,29713.3292035804
44,44,BEL,46916.615240610125,30661.94981309026
45,45,NFK,0.0,38.812602483088206
46,46,GUM,447.03689079428693,560.3902650392171
47,47,TZA,949198.5979300899,940345.3313038754
48,48,IMN,825.9637639445409,573.1941369480364
49,49,JEY,115.36241251278894,119.79760661102944
50,50,GGY,50.28122878108542,80.10200464583336
51,51,BMU,4.818280157224967,63.23446126666665
52,52,NOR,711791.2311802334,324116.8163920139
53,53,GTM,112893.16031425368,108913.38235466275
54,54,BTN,45016.25879501072,38688.42262435518
55,55,GIN,247389.04478645665,245050.13547077146
56,56,UMI,0.3155714771854373,367.54044180171553
57,57,BIH,70503.61413499372,51198.93446963389
58,58,MNP,250.24841304347854,477.5133745995102
59,59,GAB,261627.97326461633,263015.7034694753
60,60,TON,328.3038793069064,720.6155294928913
61,61,BOL,1137642.4686158695,1083936.3263449855
62,62,NRU,6.64639836810152,18.22226204852942
63,63,GMB,10050.461570739028,10629.842208357575
64,64,TTO,4814.61631921897,5180.734639847644
65,65,ALB,37297.30911241671,28665.327149211334
66,66,GEO,94095.11861019648,69677.68649534769
67,67,NPL,171777.8252299052,147606.3057981313
68,68,ARE,75617.69174025107,70695.88382661896
69,69,DZA,2631899.360832215,2307935.5915148044
70,70,NLD,54542.16823699902,35182.345432903465
71,71,TUN,185511.1180283562,155148.3001953059
72,72,ASM,92.23732460306681,201.86675263823534
73,73,SXM,14.01708465930256,38.16960770857843
74,74,DEU,562307.6373374682,357763.2170342911
75,75,ABW,127.06784887189849,184.28478747622552
76,76,PSE,6869.6712749086155,6143.034650630868
77,77,CUW,336.27784665171976,446.9985832323534
78,78,TUR,1010881.8564467337,780076.1964869066
79,79,AND,543.00838857922,464.5936687803906
80,80,TUV,0.0,29.887854100980398
81,81,BES,210.62377334907106,324.35442557843106
82,82,TCA,219.83534729908794,545.695208701469
83,83,AGO,1282344.5116345843,1247053.7516257018
84,84,TKM,713430.596611517,555173.9089979831
85,85,NCL,18555.356797009626,18916.94542953331
86,86,UGA,241673.52339210545,241497.7502213796
87,87,ATG,301.6277919117954,443.00264849460706
88,88,GHA,240480.10172914236,238779.27255411266
89,89,UKR,906565.7087067754,600302.4005198036
90,90,ARG,3443100.2914618724,2780492.988733309
91,91,GIB,0.0,5.676283691666666
92,92,AZE,213421.52232131528,164360.9515982953
93,93,VUT,10315.445903833184,12224.441735613551
94,94,AUS,8580790.708307542,7687218.684266672
95,95,POL,503553.00023991393,311924.03788006894
