,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Reporting Type,Observation Status,Impact Type,Bioclimatic Belt,ISOalpha3,Type,SeriesCode
3,1,Proportion of degraded mountain land,004,AFG,2015,3.9769295078124998,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Alpine,,Region,XXXX
4,1,Proportion of degraded mountain land,004,AFG,2015,17538.230760202892,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Alpine,,Region,XXXX
5,1,Proportion of degraded mountain land,004,AFG,2015,11.731255015624997,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Alpine,,Region,XXXX
1,1,Proportion of degraded mountain land,004,AFG,2015,17553.938944726327,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Alpine,,Region,XXXX
6,1,Proportion of degraded mountain land,004,AFG,2015,1355.8650415136613,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Montane,,Region,XXXX
7,1,Proportion of degraded mountain land,004,AFG,2015,262052.306841151,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Montane,,Region,XXXX
8,1,Proportion of degraded mountain land,004,AFG,2015,2050.345541484403,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Montane,,Region,XXXX
2,1,Proportion of degraded mountain land,004,AFG,2015,265458.5174241491,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Montane,,Region,XXXX
1,1,Proportion of degraded mountain land,004,AFG,2015,21328.41284874797,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Nival,,Region,XXXX
2,1,Proportion of degraded mountain land,004,AFG,2015,0.07769265625,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Nival,,Region,XXXX
0,1,Proportion of degraded mountain land,004,AFG,2015,21328.49054140422,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Nival,,Region,XXXX
9,1,Proportion of degraded mountain land,004,AFG,2015,1132.5939302776985,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
10,1,Proportion of degraded mountain land,004,AFG,2015,91188.42083343273,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
11,1,Proportion of degraded mountain land,004,AFG,2015,2861.474088878982,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Remaining mountain area,,Region,XXXX
3,1,Proportion of degraded mountain land,004,AFG,2015,95182.4888525894,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,004,AFG,2015,2492.435901299172,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,004,AFG,2015,392107.37128353457,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,004,AFG,2015,4923.62857803526,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
4,1,Proportion of degraded mountain land,004,AFG,2018,19.546387429687496,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Alpine,,Region,XXXX
5,1,Proportion of degraded mountain land,004,AFG,2018,17533.767156984133,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Alpine,,Region,XXXX
6,1,Proportion of degraded mountain land,004,AFG,2018,0.6254003125,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Alpine,,Region,XXXX
1,1,Proportion of degraded mountain land,004,AFG,2018,17553.93894472632,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Alpine,,Region,XXXX
7,1,Proportion of degraded mountain land,004,AFG,2018,1635.0908716380177,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Montane,,Region,XXXX
8,1,Proportion of degraded mountain land,004,AFG,2018,263707.3541962347,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Montane,,Region,XXXX
9,1,Proportion of degraded mountain land,004,AFG,2018,116.07235627895218,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Montane,,Region,XXXX
2,1,Proportion of degraded mountain land,004,AFG,2018,265458.5174241517,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Montane,,Region,XXXX
1,1,Proportion of degraded mountain land,004,AFG,2018,1.1621411328125,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Nival,,Region,XXXX
2,1,Proportion of degraded mountain land,004,AFG,2018,21327.172625724532,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Nival,,Region,XXXX
3,1,Proportion of degraded mountain land,004,AFG,2018,0.155774546875,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Nival,,Region,XXXX
0,1,Proportion of degraded mountain land,004,AFG,2018,21328.49054140422,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Nival,,Region,XXXX
