,index,ISOCode,RSA,PLAN,contry_index,variable,group_rsa,sum_rsa,group_plan,sum_plan
0,0,ATF,"{'groups': [{'group': 1.0, 'sum': 447.6101453531781}, {'group': 2.0, 'sum': 3678.4314863203836}, {'group': 3.0, 'sum': 18.532285531160735}]}","{'groups': [{'group': 1.0, 'sum': 289.6197219375001}, {'group': 2.0, 'sum': 2429.081773757613}, {'group': 3.0, 'sum': 14.906763124999998}]}",0,0,1.0,447.6101453531781,1.0,289.6197219375001
1,0,ATF,"{'groups': [{'group': 1.0, 'sum': 447.6101453531781}, {'group': 2.0, 'sum': 3678.4314863203836}, {'group': 3.0, 'sum': 18.532285531160735}]}","{'groups': [{'group': 1.0, 'sum': 289.6197219375001}, {'group': 2.0, 'sum': 2429.081773757613}, {'group': 3.0, 'sum': 14.906763124999998}]}",0,1,2.0,3678.4314863203836,2.0,2429.081773757613
2,0,ATF,"{'groups': [{'group': 1.0, 'sum': 447.6101453531781}, {'group': 2.0, 'sum': 3678.4314863203836}, {'group': 3.0, 'sum': 18.532285531160735}]}","{'groups': [{'group': 1.0, 'sum': 289.6197219375001}, {'group': 2.0, 'sum': 2429.081773757613}, {'group': 3.0, 'sum': 14.906763124999998}]}",0,2,3.0,18.532285531160735,3.0,14.906763124999998
3,0,ATF,"{'groups': [{'group': 1.0, 'sum': 447.6101453531781}, {'group': 2.0, 'sum': 3678.4314863203836}, {'group': 3.0, 'sum': 18.532285531160735}]}","{'groups': [{'group': 1.0, 'sum': 289.6197219375001}, {'group': 2.0, 'sum': 2429.081773757613}, {'group': 3.0, 'sum': 14.906763124999998}]}",0,3,,,,
4,1,NAM,"{'groups': [{'group': 3.0, 'sum': 9818.390929354462}, {'group': 4.0, 'sum': 171988.70156668426}]}","{'groups': [{'group': 3.0, 'sum': 8526.765803312474}, {'group': 4.0, 'sum': 155895.98368152388}]}",1,0,3.0,9818.390929354462,3.0,8526.765803312474
5,1,NAM,"{'groups': [{'group': 3.0, 'sum': 9818.390929354462}, {'group': 4.0, 'sum': 171988.70156668426}]}","{'groups': [{'group': 3.0, 'sum': 8526.765803312474}, {'group': 4.0, 'sum': 155895.98368152388}]}",1,1,4.0,171988.70156668426,4.0,155895.98368152388
6,1,NAM,"{'groups': [{'group': 3.0, 'sum': 9818.390929354462}, {'group': 4.0, 'sum': 171988.70156668426}]}","{'groups': [{'group': 3.0, 'sum': 8526.765803312474}, {'group': 4.0, 'sum': 155895.98368152388}]}",1,2,,,,
7,1,NAM,"{'groups': [{'group': 3.0, 'sum': 9818.390929354462}, {'group': 4.0, 'sum': 171988.70156668426}]}","{'groups': [{'group': 3.0, 'sum': 8526.765803312474}, {'group': 4.0, 'sum': 155895.98368152388}]}",1,3,,,,
8,2,AFG,"{'groups': [{'group': 1.0, 'sum': 27531.12082723602}, {'group': 2.0, 'sum': 22545.63046824965}, {'group': 3.0, 'sum': 330499.94439075433}, {'group': 4.0, 'sum': 114085.89356727753}]}","{'groups': [{'group': 1.0, 'sum': 21301.22433906871}, {'group': 2.0, 'sum': 17559.30025730754}, {'group': 3.0, 'sum': 265415.8063775105}, {'group': 4.0, 'sum': 95086.23915154567}]}",2,0,1.0,27531.12082723602,1.0,21301.22433906871
9,2,AFG,"{'groups': [{'group': 1.0, 'sum': 27531.12082723602}, {'group': 2.0, 'sum': 22545.63046824965}, {'group': 3.0, 'sum': 330499.94439075433}, {'group': 4.0, 'sum': 114085.89356727753}]}","{'groups': [{'group': 1.0, 'sum': 21301.22433906871}, {'group': 2.0, 'sum': 17559.30025730754}, {'group': 3.0, 'sum': 265415.8063775105}, {'group': 4.0, 'sum': 95086.23915154567}]}",2,1,2.0,22545.63046824965,2.0,17559.30025730754
